city,cluster_id,n_trade_areas,total,share,cluster_label_ko,description_ko
강남구,0,22,216,0.10185185185185185,대형 음식 상권,강남구 내 대형 음식 상권의 비중은 10.2%입니다.
강남구,1,128,216,0.5925925925925926,소형 소매 상권,강남구 내 소형 소매 상권의 비중은 59.3%입니다.
강남구,2,22,216,0.10185185185185185,중형 수리·개인 상권,강남구 내 중형 수리·개인 상권의 비중은 10.2%입니다.
강남구,3,22,216,0.10185185185185185,소형 교육 상권,강남구 내 소형 교육 상권의 비중은 10.2%입니다.
강남구,4,22,216,0.10185185185185185,대형 과학·기술 상권,강남구 내 대형 과학·기술 상권의 비중은 10.2%입니다.
강동구,0,19,185,0.10270270270270271,대형 음식 상권,강동구 내 대형 음식 상권의 비중은 10.3%입니다.
강동구,1,109,185,0.5891891891891892,소형 소매 상권,강동구 내 소형 소매 상권의 비중은 58.9%입니다.
강동구,2,19,185,0.10270270270270271,중형 수리·개인 상권,강동구 내 중형 수리·개인 상권의 비중은 10.3%입니다.
강동구,3,19,185,0.10270270270270271,소형 교육 상권,강동구 내 소형 교육 상권의 비중은 10.3%입니다.
강동구,4,19,185,0.10270270270270271,대형 과학·기술 상권,강동구 내 대형 과학·기술 상권의 비중은 10.3%입니다.
강북구,0,13,128,0.1015625,대형 음식 상권,강북구 내 대형 음식 상권의 비중은 10.2%입니다.
강북구,1,76,128,0.59375,소형 소매 상권,강북구 내 소형 소매 상권의 비중은 59.4%입니다.
강북구,2,13,128,0.1015625,중형 수리·개인 상권,강북구 내 중형 수리·개인 상권의 비중은 10.2%입니다.
강북구,3,13,128,0.1015625,소형 교육 상권,강북구 내 소형 교육 상권의 비중은 10.2%입니다.
강북구,4,13,128,0.1015625,대형 과학·기술 상권,강북구 내 대형 과학·기술 상권의 비중은 10.2%입니다.
강서구,0,20,198,0.10101010101010101,대형 음식 상권,강서구 내 대형 음식 상권의 비중은 10.1%입니다.
강서구,1,118,198,0.5959595959595959,소형 소매 상권,강서구 내 소형 소매 상권의 비중은 59.6%입니다.
강서구,2,20,198,0.10101010101010101,중형 수리·개인 상권,강서구 내 중형 수리·개인 상권의 비중은 10.1%입니다.
