city,town,n_trade_areas,total_town_store_count,town_lat,town_lon,vol_과학·기술,vol_교육,vol_보건의료,vol_부동산,vol_소매,vol_수리·개인,vol_숙박,vol_시설관리·임대,vol_예술·스포츠,vol_음식,town_label_ko,dom_cluster_id,dom_cluster_store_count,dom_cluster_label,description_ko
강남구,개포1동,8,137,37.482849463294585,127.05691832785485,15,15,3,32,45,15,0,2,0,10,소형 소매 상권,1,82,소형 소매 상권,"분석 결과, 강남구 개포1동은(는) 전반적으로 [소형 소매 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 137개의 점포 중, 약 82개가 이 핵심 상권 유형에 해당합니다."
강남구,개포2동,10,851,37.48656511373783,127.06573249385951,68,164,53,147,131,76,5,21,36,150,중형 교육 상권,1,393,소형 소매 상권,"분석 결과, 강남구 개포2동은(는) 전반적으로 [중형 교육 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 851개의 점포 중, 약 393개가 이 핵심 상권 유형에 해당합니다."
강남구,개포3동,9,339,37.49367700921668,127.0778430152327,46,37,26,38,65,31,0,18,14,64,소형 소매 상권,1,161,소형 소매 상권,"분석 결과, 강남구 개포3동은(는) 전반적으로 [소형 소매 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 339개의 점포 중, 약 161개가 이 핵심 상권 유형에 해당합니다."
강남구,개포4동,10,1501,37.47717684412733,127.04895186139092,428,133,36,83,279,155,9,102,49,227,대형 과학·기술 상권,1,558,소형 소매 상권,"분석 결과, 강남구 개포4동은(는) 전반적으로 [대형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,501개의 점포 중, 약 558개가 이 핵심 상권 유형에 해당합니다."
강남구,논현1동,10,5175,37.51062015791353,127.02583629890512,1797,261,318,258,734,400,53,315,122,917,대형 과학·기술 상권,1,1800,소형 소매 상권,"분석 결과, 강남구 논현1동은(는) 전반적으로 [대형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 5,175개의 점포 중, 약 1,800개가 이 핵심 상권 유형에 해당합니다."
강남구,논현2동,10,5298,37.515094773123465,127.03632639099764,1966,276,180,232,702,391,32,321,115,1083,대형 과학·기술 상권,1,1582,소형 소매 상권,"분석 결과, 강남구 논현2동은(는) 전반적으로 [대형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 5,298개의 점포 중, 약 1,582개가 이 핵심 상권 유형에 해당합니다."
강남구,대치1동,10,941,37.494867779329226,127.05957313139288,30,344,103,85,139,65,1,7,38,129,중형 교육 상권,1,373,소형 소매 상권,"분석 결과, 강남구 대치1동은(는) 전반적으로 [중형 교육 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 941개의 점포 중, 약 373개가 이 핵심 상권 유형에 해당합니다."
강남구,대치2동,10,3273,37.503809353258106,127.06232680119415,1048,525,79,166,459,153,26,189,106,522,대형 과학·기술 상권,1,1025,소형 소매 상권,"분석 결과, 강남구 대치2동은(는) 전반적으로 [대형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 3,273개의 점포 중, 약 1,025개가 이 핵심 상권 유형에 해당합니다."
강남구,대치4동,10,3867,37.50183970008418,127.05381183218364,687,1028,106,218,516,241,44,132,162,733,대형 교육 상권,1,1178,소형 소매 상권,"분석 결과, 강남구 대치4동은(는) 전반적으로 [대형 교육 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 3,867개의 점포 중, 약 1,178개가 이 핵심 상권 유형에 해당합니다."
강남구,도곡1동,10,1305,37.48804051469496,127.03737960878007,310,161,81,72,207,115,19,57,41,242,대형 과학·기술 상권,1,477,소형 소매 상권,"분석 결과, 강남구 도곡1동은(는) 전반적으로 [대형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,305개의 점포 중, 약 477개가 이 핵심 상권 유형에 해당합니다."
강남구,도곡2동,10,1184,37.48644235387241,127.04711144191587,313,117,40,65,181,88,2,44,37,297,대형 과학·기술 상권,1,369,소형 소매 상권,"분석 결과, 강남구 도곡2동은(는) 전반적으로 [대형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,184개의 점포 중, 약 369개가 이 핵심 상권 유형에 해당합니다."
강남구,삼성1동,10,3280,37.511993598490704,127.05889056111239,1053,145,97,163,675,129,27,177,75,739,대형 과학·기술 상권,1,1214,소형 소매 상권,"분석 결과, 강남구 삼성1동은(는) 전반적으로 [대형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 3,280개의 점포 중, 약 1,214개가 이 핵심 상권 유형에 해당합니다."
강남구,삼성2동,10,3611,37.510518776833194,127.04954388017798,1440,315,97,263,417,231,32,198,77,541,대형 과학·기술 상권,1,1084,소형 소매 상권,"분석 결과, 강남구 삼성2동은(는) 전반적으로 [대형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 3,611개의 점포 중, 약 1,084개가 이 핵심 상권 유형에 해당합니다."
강남구,세곡동,10,1153,37.47060244974305,127.1042436212355,258,150,38,78,221,113,3,64,31,197,중형 과학·기술 상권,1,435,소형 소매 상권,"분석 결과, 강남구 세곡동은(는) 전반적으로 [중형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,153개의 점포 중, 약 435개가 이 핵심 상권 유형에 해당합니다."
강남구,수서동,10,901,37.487725651355085,127.10251960299281,274,42,44,55,137,51,3,65,20,210,중형 과학·기술 상권,1,324,소형 소매 상권,"분석 결과, 강남구 수서동은(는) 전반적으로 [중형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 901개의 점포 중, 약 324개가 이 핵심 상권 유형에 해당합니다."
강남구,신사동,10,4373,37.52158588682228,127.02372412646301,1062,386,405,135,830,390,28,143,88,906,대형 과학·기술 상권,1,1629,소형 소매 상권,"분석 결과, 강남구 신사동은(는) 전반적으로 [대형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 4,373개의 점포 중, 약 1,629개가 이 핵심 상권 유형에 해당합니다."
강남구,압구정동,10,4223,37.52582834551294,127.03392470297096,722,442,347,114,882,441,15,101,110,1049,대형 음식 상권,1,1569,소형 소매 상권,"분석 결과, 강남구 압구정동은(는) 전반적으로 [대형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 4,223개의 점포 중, 약 1,569개가 이 핵심 상권 유형에 해당합니다."
